Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita
United Kingdom,GBR,1981,560.554477,261.41724,195.249064,89.606784,6.304861,7.976528,,9.939641
United Kingdom,GBR,1982,548.240368,244.751365,196.244728,93.314128,6.422661,7.507486,,9.711941
United Kingdom,GBR,1983,545.485136,247.234067,187.284103,97.168627,6.638931,7.159408,,9.654329
United Kingdom,GBR,1984,529.108173,177.559272,238.803032,99.609504,6.680397,6.455968,,9.353447
United Kingdom,GBR,1985,559.627325,234.314929,205.724926,107.940733,6.612434,5.034303,,9.879895
United Kingdom,GBR,1986,568.553975,248.487214,201.31352,108.266838,6.650219,3.836183,,10.023534
United Kingdom,GBR,1987,571.667598,259.297616,193.726672,107.509088,7.096494,4.037728,,10.059908
United Kingdom,GBR,1988,570.293732,249.779381,206.462632,105.863272,8.188447,0,,10.013472
United Kingdom,GBR,1989,581.5761,245.895033,222.612606,104.710452,8.358009,0,,10.189486
United Kingdom,GBR,1990,601.945078,252.689667,217.799809,113.517625,7.295263,6.78708,3.855634,10.521595
United Kingdom,GBR,1991,609.412673,253.622509,218.39034,121.693416,5.994176,6.260327,3.451905,10.62445
United Kingdom,GBR,1992,593.845922,237.74694,218.44676,122.295506,5.456386,6.444191,3.45614,10.326096
United Kingdom,GBR,1993,579.612537,207.685853,219.163179,137.590681,5.524922,6.635621,3.01228,10.054433
United Kingdom,GBR,1994,574.01689,195.375628,215.736312,145.455289,6.36781,7.425508,3.656342,9.933511
United Kingdom,GBR,1995,566.158959,181.699266,211.595054,154.253805,6.284903,8.341181,3.984749,9.773095
United Kingdom,GBR,1996,586.760676,173.071522,216.892453,177.542516,6.416449,8.706841,4.130894,10.102875
United Kingdom,GBR,1997,562.708106,154.728657,207.743352,182.886752,6.710493,7.210749,3.428103,9.660192
United Kingdom,GBR,1998,568.543698,154.087839,204.933885,191.361381,6.838169,7.448362,3.87406,9.728953
United Kingdom,GBR,1999,561.649574,138.3134,201.66302,205.231254,6.530861,6.170552,3.740487,9.57871
United Kingdom,GBR,2000,569.033716,144.44308,198.237954,210.131006,6.331884,6.446023,3.443769,9.669215
United Kingdom,GBR,2001,577.970573,153.533658,198.650759,210.160357,5.843838,6.49308,3.288881,9.780857
United Kingdom,GBR,2002,560.2732,141.691083,196.130348,207.030373,5.988265,6.178655,3.254476,9.43925
United Kingdom,GBR,2003,571.618782,153.102776,194.397355,208.462265,5.867549,5.56312,4.225717,9.582912
United Kingdom,GBR,2004,573.429762,147.662298,197.952289,211.734175,5.97663,5.618775,4.485595,9.557824
United Kingdom,GBR,2005,570.33837,148.032654,200.447656,205.437837,5.941163,5.991193,4.487867,9.445231
United Kingdom,GBR,2006,567.845659,160.843769,197.183104,194.12641,5.89278,5.271742,4.527855,9.338998
United Kingdom,GBR,2007,559.566476,150.843509,196.16027,196.519574,6.117015,5.417125,4.508983,9.134187
United Kingdom,GBR,2008,544.932405,139.219107,188.799534,202.654948,5.204877,4.749941,4.303998,8.825938
United Kingdom,GBR,2009,494.107701,113.823148,180.26388,188.07048,3.721209,4.880534,3.34845,7.938318
United Kingdom,GBR,2010,511.904582,118.030363,179.84842,201.927123,3.79201,4.737995,3.568671,8.156537
United Kingdom,GBR,2011,469.713315,117.149672,172.059735,168.235546,4.096816,4.453032,3.718514,7.422031
United Kingdom,GBR,2012,487.476776,148.005461,170.288365,158.2399,3.723954,3.645807,3.573288,7.639657
United Kingdom,GBR,2013,477.611268,142.456568,165.756488,157.622225,4.02911,4.215954,3.530924,7.427593
United Kingdom,GBR,2014,438.807081,115.433547,166.510706,144.492208,4.214814,4.436023,3.719782,6.774484
United Kingdom,GBR,2015,422.460794,91.548016,170.772559,147.8994,4.393361,4.641191,3.206267,6.47704
United Kingdom,GBR,2016,399.430131,47.824616,173.93028,165.742039,4.553321,4.5586,2.821275,6.083754
United Kingdom,GBR,2017,387.367141,39.128801,174.850612,161.697365,4.40979,4.301261,2.979312,5.863442
United Kingdom,GBR,2018,379.729755,33.280249,173.087118,161.485261,4.363948,4.476409,3.036771,5.715981
United Kingdom,GBR,2019,364.753306,24.512705,168.995529,159.320842,4.448499,4.28319,3.192541,5.462124
United Kingdom,GBR,2020,326.263199,22.809405,143.980921,149.420095,3.899688,3.442599,2.710492,4.865281
United Kingdom,GBR,2021,346.773181,23.689725,154.11081,158.864022,3.899688,3.473844,2.735092,5.1541
